student_id,timestamp,skill_id,correctness
101,2023-03-01 08:00:00,1,0
101,2023-03-01 08:05:00,4,0
101,2023-03-01 08:10:00,3,1
101,2023-03-01 08:15:00,2,1
101,2023-03-01 08:20:00,9,0
101,2023-03-01 08:25:00,6,1
101,2023-03-01 08:30:00,3,1
101,2023-03-01 08:35:00,8,0
101,2023-03-01 08:40:00,9,1
101,2023-03-01 08:45:00,0,0
101,2023-03-01 08:50:00,2,1
101,2023-03-01 08:55:00,4,1
101,2023-03-01 09:00:00,3,1
101,2023-03-01 09:05:00,6,0
101,2023-03-01 09:10:00,3,0
101,2023-03-01 09:15:00,8,1
101,2023-03-01 09:20:00,9,0
101,2023-03-01 09:25:00,6,1
101,2023-03-01 09:30:00,0,1
101,2023-03-01 09:35:00,8,1
102,2023-03-01 09:40:00,4,1
102,2023-03-01 09:45:00,1,0
102,2023-03-01 09:50:00,9,1
102,2023-03-01 09:55:00,6,1
102,2023-03-01 10:00:00,0,1
102,2023-03-01 10:05:00,2,0
102,2023-03-01 10:10:00,5,1
102,2023-03-01 10:15:00,1,1
102,2023-03-01 10:20:00,7,0
102,2023-03-01 10:25:00,4,0
102,2023-03-01 10:30:00,9,0
102,2023-03-01 10:35:00,8,1
102,2023-03-01 10:40:00,0,0
102,2023-03-01 10:45:00,2,0
102,2023-03-01 10:50:00,3,1
102,2023-03-01 10:55:00,8,0
102,2023-03-01 11:00:00,5,1
102,2023-03-01 11:05:00,9,1
102,2023-03-01 11:10:00,6,1
102,2023-03-01 11:15:00,2,0
103,2023-03-01 11:20:00,1,1
103,2023-03-01 11:25:00,4,0
103,2023-03-01 11:30:00,8,1
103,2023-03-01 11:35:00,7,1
103,2023-03-01 11:40:00,5,0
103,2023-03-01 11:45:00,9,0
103,2023-03-01 11:50:00,0,1
103,2023-03-01 11:55:00,2,1
103,2023-03-01 12:00:00,3,0
103,2023-03-01 12:05:00,8,0
103,2023-03-01 12:10:00,6,0
103,2023-03-01 12:15:00,9,1
103,2023-03-01 12:20:00,4,1
103,2023-03-01 12:25:00,5,1
103,2023-03-01 12:30:00,7,0
103,2023-03-01 12:35:00,1,0
103,2023-03-01 12:40:00,3,1
103,2023-03-01 12:45:00,9,0
103,2023-03-01 12:50:00,0,1
103,2023-03-01 12:55:00,2,0
104,2023-03-01 13:00:00,5,1
104,2023-03-01 13:05:00,2,0
104,2023-03-01 13:10:00,1,1
104,2023-03-01 13:15:00,4,1
104,2023-03-01 13:20:00,6,0
104,2023-03-01 13:25:00,8,1
104,2023-03-01 13:30:00,9,1
104,2023-03-01 13:35:00,0,1
104,2023-03-01 13:40:00,7,0
104,2023-03-01 13:45:00,1,0
104,2023-03-01 13:50:00,3,1
104,2023-03-01 13:55:00,8,1
104,2023-03-01 14:00:00,4,0
104,2023-03-01 14:05:00,2,1
104,2023-03-01 14:10:00,7,0
104,2023-03-01 14:15:00,9,1
104,2023-03-01 14:20:00,5,1
104,2023-03-01 14:25:00,6,0
104,2023-03-01 14:30:00,1,1
104,2023-03-01 14:35:00,3,0
105,2023-03-01 14:40:00,7,1
105,2023-03-01 14:45:00,0,1
105,2023-03-01 14:50:00,5,0
105,2023-03-01 14:55:00,1,1
105,2023-03-01 15:00:00,2,0
105,2023-03-01 15:05:00,4,1
105,2023-03-01 15:10:00,9,0
105,2023-03-01 15:15:00,3,1
105,2023-03-01 15:20:00,6,1
105,2023-03-01 15:25:00,8,0
105,2023-03-01 15:30:00,7,0
105,2023-03-01 15:35:00,5,0
105,2023-03-01 15:40:00,9,1
105,2023-03-01 15:45:00,4,1
105,2023-03-01 15:50:00,3,0
105,2023-03-01 15:55:00,1,1
105,2023-03-01 16:00:00,2,1
105,2023-03-01 16:05:00,6,0
105,2023-03-01 16:10:00,0,0
105,2023-03-01 16:15:00,8,1
106,2023-03-01 16:20:00,9,1
106,2023-03-01 16:25:00,1,0
106,2023-03-01 16:30:00,5,1
106,2023-03-01 16:35:00,2,1
106,2023-03-01 16:40:00,0,1
106,2023-03-01 16:45:00,7,1
106,2023-03-01 16:50:00,4,0
106,2023-03-01 16:55:00,3,1
106,2023-03-01 17:00:00,1,1
106,2023-03-01 17:05:00,6,0
106,2023-03-01 17:10:00,9,0
106,2023-03-01 17:15:00,2,0
106,2023-03-01 17:20:00,5,1
106,2023-03-01 17:25:00,0,0
106,2023-03-01 17:30:00,8,1
106,2023-03-01 17:35:00,7,0
106,2023-03-01 17:40:00,9,1
106,2023-03-01 17:45:00,4,1
106,2023-03-01 17:50:00,3,0
106,2023-03-01 17:55:00,5,1
106,2023-03-01 18:00:00,1,0
